"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"mu_log_rho",-2.89879613452986,0.00146833450152163,0.0535741338098428,-3.01203176817899,-2.93021920866008,-2.89622125592694,-2.86423012023245,-2.79918004548121,1331.25210973294,1.00294218361797
"mu_log_K",-0.142320207709948,0.00702429362126301,0.182323283156179,-0.513293350131177,-0.25424514250423,-0.14187754499088,-0.0277418503467198,0.215073424047605,673.719241711485,1.00522661234854
"tau_log_rho",0.151623860077214,0.0012286048458353,0.0483101859048542,0.0816849231636595,0.118889726048509,0.143163367517686,0.174641573098144,0.274001156079854,1546.15478775695,1.00205414122067
"tau_log_K",0.589803005902441,0.0040764964897,0.15352939042011,0.37074354104662,0.482810404806136,0.56324614884077,0.669421496718663,0.963678278970018,1418.43325858007,1.00255183875006
"z_rho[1]",-0.68796788822648,0.0110887213235709,0.494649368647137,-1.7321252097092,-0.998446062242165,-0.669899795776967,-0.341684380489183,0.211808644528406,1989.90333523277,1.00272469452859
"z_rho[2]",1.34178046814301,0.0116899604877033,0.485456977409286,0.465860255430379,1.00718231199153,1.32363307211649,1.64933789036801,2.36786854946337,1724.5484837211,1.00026173668116
"z_rho[3]",-0.327175685961724,0.0112709900977386,0.765595540422611,-1.81047007565933,-0.850135729338307,-0.325816408875933,0.182661436248046,1.20544729526491,4613.96880127162,0.999957184487532
"z_rho[4]",1.21100086164917,0.0113172359465578,0.456611839626038,0.377709198336419,0.889771774999334,1.20131344517534,1.50955212757873,2.147590740347,1627.84704624714,1.00043238549019
"z_rho[5]",-0.763225895064267,0.0110212476657779,0.677125862481976,-2.14215226445056,-1.19779281955026,-0.752308764674467,-0.301639843045402,0.540478961682417,3774.65514119517,1.00018955162718
"z_rho[6]",1.00387743188907,0.01052285731625,0.432065083002003,0.184499628408684,0.707524012373449,1.00165677821165,1.28814269912907,1.89649758917282,1685.89676693169,1.00105821477766
"z_rho[7]",-0.492860593060381,0.0118696005902738,0.682473836007244,-1.85859799412048,-0.950245062546685,-0.492917326785877,-0.0396544455107811,0.844969790225637,3305.9768066992,1.00003358094013
"z_rho[8]",-0.617136080403443,0.0114652903649235,0.569165086239883,-1.81794885630997,-0.973311683106258,-0.594702068556031,-0.228602770079522,0.421217017623338,2464.3726910109,1.00143335417365
"z_rho[9]",-0.583564726522208,0.0110931420254493,0.565872847999419,-1.77974920449159,-0.944634023301302,-0.552388006568982,-0.195805068131894,0.444967321100265,2602.12745645809,1.00117498472323
"z_rho[10]",-3.47230056229671e-05,0.00993413798737724,0.518082985815637,-1.02877906056174,-0.34620743364141,0.00988820915499824,0.348753319873434,0.993656612143095,2719.80823075207,1.0005131091611
"z_rho[11]",0.072438723971201,0.00907133830918341,0.381342737213269,-0.681221536686664,-0.178934690985581,0.0795858316276489,0.327540421849148,0.80620320052624,1767.21028801041,1.00315627130204
"z_K[1]",0.797760940685135,0.0133769976901858,0.411822680200147,0.0401491117819232,0.507235346678045,0.787739076800069,1.05431450866124,1.64937797125674,947.770566400571,1.00527787184539
"z_K[2]",0.400309372720646,0.0128118084904976,0.33115419794837,-0.22876366210306,0.179516404304794,0.395694920653092,0.615602813381929,1.06983229971159,668.097202397013,1.00750810380193
"z_K[3]",-1.557612151456,0.0134032621568357,0.505455208498946,-2.60434270569182,-1.88330544285631,-1.54809847124119,-1.20551450538474,-0.612442976892974,1422.14647119178,1.00010940263805
"z_K[4]",0.736159073601576,0.0134132951840438,0.355731375409784,0.0748235557429406,0.493232322925061,0.730171672823709,0.969526326992237,1.45978335442087,703.353056035405,1.0078216964248
"z_K[5]",-0.875067254145996,0.0126299894033751,0.399448981825033,-1.68397718701578,-1.13493241034452,-0.867373732956824,-0.608533352651334,-0.0982403942840546,1000.26866635198,1.00180728982379
"z_K[6]",0.907357987509539,0.013672719178517,0.384430386917864,0.193194278175862,0.644914847257543,0.896787827644005,1.14904450724002,1.70142731445739,790.543240238085,1.00848151324184
"z_K[7]",-0.908501074600636,0.0132526868820124,0.43778595833965,-1.79424478512591,-1.19242413154189,-0.90736336873396,-0.619177316361471,-0.0806271297799177,1091.22870412441,1.00071970906507
"z_K[8]",-0.322791379757479,0.0118215509009828,0.39640124590739,-1.08928770102943,-0.58165924771338,-0.319439764001761,-0.0689102735671414,0.469536395206114,1124.40070325165,1.00244013493318
"z_K[9]",-0.388972190664168,0.0110959588050394,0.402216733111522,-1.19127327461075,-0.662731566705637,-0.388895085195288,-0.127862276793524,0.427817745459231,1313.98557366753,1.00250011111125
"z_K[10]",-0.260494790305007,0.0119797906254509,0.347313801761087,-0.950610882652781,-0.484382311022532,-0.260366613389754,-0.0309590890233706,0.412376164094934,840.515309307432,1.00279151013322
"z_K[11]",1.38351283340285,0.0156403780927656,0.447824907470967,0.563189479773671,1.06706493057305,1.37351017265821,1.67762396945203,2.27791256873484,819.826579811165,1.00849078601103
