replicate_id,kd,s,kcl,D,sigma
559,0.07398907038446091,1.3708767927441907,0.001,4.869264564945185e-7,0.006622689684674484
129,106.53624275606113,3.6956086431689017,0.001,4.869264564945185e-7,0.01188909185690872
130,0.1799777458974294,1.8718014157793104,0.0013358612596616353,4.869264564945185e-7,0.006332557918031347
131,32.03828594062465,3.3070833892764426,0.001,4.869264564945185e-7,0.011308906541092555
132,0.023088222938036647,1.0,0.001,2.7334967474432256e-6,0.00275840773749449
133,212.8035292664856,3.922028555959946,0.001,4.869264564945185e-7,0.012034088280749835
134,0.007812459276742993,1.0,0.001,4.869264564945185e-7,0.00275840773749449
135,0.0228745025963512,1.0,0.001,1.1332559142514423e-6,0.004739788118114031
136,0.04599319168936183,1.0525326489975415,0.001,1.0686865632266411e-6,0.00888480369322724
139,0.010117599811084331,1.0,0.001,4.869264564945185e-7,0.00275840773749449
174,16.13731433292701,3.2626758752397076,0.001,4.869264564945185e-7,0.0068988780124895795
